0,06283;1,01574
0,12566;1,04443
0,1885;1,08136
0,25133;1,12468
0,31416;1,1732
0,37699;1,22603
0,43982;1,28237
0,50265;1,34155
0,56549;1,40294
0,62832;1,46592
0,69115;1,52992
0,75398;1,5944
0,81681;1,65882
0,87965;1,72266
0,94248;1,78541
1,00531;1,84657
1,06814;1,90567
1,13097;1,96226
1,19381;2,01589
1,25664;2,06613
1,31947;2,11259
1,3823;2,15489
1,44513;2,19266
1,50796;2,22557
1,5708;2,25332
1,63363;2,27561
1,69646;2,29221
1,75929;2,30289
1,82212;2,30745
1,88496;2,30574
1,94779;2,29762
2,01062;2,28301
2,07345;2,26184
2,13628;2,23407
2,19911;2,19973
2,26195;2,15883
2,32478;2,11147
2,38761;2,05776
2,45044;1,99782
2,51327;1,93184
2,57611;1,86001
2,63894;1,7826
2,70177;1,69986
2,7646;1,61209
2,82743;1,51962
2,89027;1,42278
2,9531;1,322
3,01593;1,21766
3,07876;1,11018
3,14159;1
3,20442;0,88761
3,26726;0,77345
3,33009;0,65805
3,39292;0,54192
3,45575;0,42555
3,51858;0,30948
3,58142;0,19422
3,64425;0,08033
3,70708;-0,03167
3,76991;-0,14126
3,83274;-0,2479
3,89557;-0,3511
3,95841;-0,45034
4,02124;-0,54511
4,08407;-0,63495
4,1469;-0,71938
4,20973;-0,79797
4,27257;-0,8703
4,3354;-0,93595
4,39823;-0,99455
4,46106;-1,04577
4,52389;-1,08927
4,58673;-1,12478
4,64956;-1,15203
4,71239;-1,1708
4,77522;-1,18092
4,83805;-1,18221
4,90088;-1,17458
4,96372;-1,15794
5,02655;-1,13226
5,08938;-1,09754
5,15221;-1,05382
5,21504;-1,00118
5,27788;-0,93972
5,34071;-0,86963
5,40354;-0,7911
5,46637;-0,70435
5,5292;-0,60967
5,59203;-0,50736
5,65487;-0,39775
5,7177;-0,28125
5,78053;-0,15827
5,84336;-0,02924
5,90619;0,10535
5,96903;0,24503
6,03186;0,38923
6,09469;0,5374
6,15752;0,68899
6,22035;0,84339
6,28319;1,00001
